english,czech,
to be,být
I am,Já jsem,Jsem
You are,Ty jsi,Jsi
He is,On je,Je
It is,To je,Je
She is,Ona je,Je
We are,My jsme,Jsme
You all are,Vy jste,Jste
They are,Oni jsou,Jsou
to do,dělat
I do,dělám
You do,děláš
he/she/it does,dělá
we do,děláme
you all do,děláte
they do,dělají
to give,dát
I give,dám
you give,dáš
he/she/it gives,dá
we give,dáme
you all give,dáte
they give,dají
to have to,muset
I must,musím
you must,musíš
he/she/it must,musí
we must,musíme
you all must,musíte
they must,musí
to buy,kupovat
I buy,kupuji
you buy,kupuješ
he/she/it buys,kupuje
we buy,kupujeme
you all buy,kupujete
they buy,kupují
to wash,mýt
I wash,myji
you wash,myješ
he/she/it washes,myje
we wash,myjeme
you all wash,myjete
they wash,myjí
to pour,lít
I pour,liji
you pour,liješ
he/she/it pours,lije
we pour,lijeme
you all pour,lijete
they pour,lijí
